artifact-title,artifact-title href,author,publisher-date,publisher,date
sem 1 - Programming Methodology and Data Structures (ETRX/EXTC) make up exam,http://dspace.spit.ac.in/xmlui/handle/123456789/659,SPIT,"(, )",SPIT,2017-12
sem 1 - Basic Electrical and Electronics Engineering (IT and COMP) make up exam,http://dspace.spit.ac.in/xmlui/handle/123456789/658,SPIT,"(, )",SPIT,2017-12
sem 1 - Computer Vision,http://dspace.spit.ac.in/xmlui/handle/123456789/657,SPIT,"(, )",SPIT,2017-12
sem 1 - Advanced soft computing (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/656,SPIT,"(, )",SPIT,2017-12
sem 1 - Principles of management,http://dspace.spit.ac.in/xmlui/handle/123456789/655,SPIT,"(, )",SPIT,2017-12
sem 1 - Modern Wireless Communication (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/654,SPIT,"(, )",SPIT,2017-12
sem 1 - Applied Physics I (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/653,SPIT,"(, )",SPIT,2017-12
sem 1 - Software Engineering (Make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/652,SPIT,"(, )",SPIT,2017-12
sem 1 - Applied Chemistry I (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/651,SPIT,"(, )",SPIT,2017-12
sem 1 - Discrete Mathematics (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/650,SPIT,"(, )",SPIT,2017-12
sem 1 - Information and System Security (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/649,SPIT,"(, )",SPIT,2017-12
sem 1 - Engineering Mathematics I (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/648,SPIT,"(, )",SPIT,2017-12
sem 1 - Advanced Digital Signal Processing (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/647,SPIT,"(, )",SPIT,2017-12
sem 3 - Circuit Theory (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/637,SPIT,"(, )",SPIT,2017-12
sem 3 - Digital Logic Design and Analysis (make up exam),http://dspace.spit.ac.in/xmlui/handle/123456789/633,SPIT,"(, )",SPIT,2017-12
